arf5	ENST00000000233
RAB11FIP5	ENST00000258098
DYSF	ENST00000258104
MRPL53	ENST00000258105
KLHL36	ENST00000258157
USP37	ENST00000258399
REV1	ENST00000258428
Ckap4	ENST00000258512
appl2	ENST00000258530
Ckap2	ENST00000258607
THSD1	ENST00000258613
SETDB2	ENST00000258672
LOC442572	ENST00000258704
igf2bp3	ENST00000258729
Abcb5	ENST00000258738
LOC643332	ENST00000258817
Tm6sf1	ENST00000258909
ARL17A	ENST00000258959
csh1	ENST00000259003
CCDC115	ENST00000259229
IMP4	ENST00000259239
HS6ST1	ENST00000259241
LRRC8A	ENST00000259324
Tor1b	ENST00000259339
SLC31A2	ENST00000259392
HINT2	ENST00000259667
Yipf3	ENST00000259737
TTBK1	ENST00000259750
GTF2H4	ENST00000259895
TRIM10	ENST00000259941
ttpa	ENST00000260116
Sulf1	ENST00000260128
FXYD2	ENST00000260287
MMP13	ENST00000260302
HAUS2	ENST00000260372
ARHGAP29	ENST00000260526
DYNC2LI1	ENST00000260605
CYP1B1	ENST00000260630
DNAJC13	ENST00000260818
Gpr87	ENST00000260843
MSTN	ENST00000260950
fam117b	ENST00000261012
COL8A1	ENST00000261037
slc16a7	ENST00000261187
abcc9	ENST00000261201
irak3	ENST00000261233
TMEM5	ENST00000261234
TGDS	ENST00000261296
foxn3	ENST00000261302
c12orf49	ENST00000261318
SNCAIP	ENST00000261368
TBC1D1	ENST00000261439
MAN2A1	ENST00000261483
Vps13c	ENST00000261517
esrrb	ENST00000261532
Nol4	ENST00000261592
RNF138	ENST00000261593
LPIN2	ENST00000261596
CYBA	ENST00000261623
PLA2G10	ENST00000261659
mpp5	ENST00000261681
FAH	ENST00000261755
Fat2	ENST00000261800
Eif4ebp3	ENST00000261805
Ankhd1-Eif4ebp3	ENST00000261805
glcE	ENST00000261858
CORO2B	ENST00000261861
prpf40b	ENST00000261897
CCNT1	ENST00000261900
SGCA	ENST00000262018
THSD7A	ENST00000262042
EIF4B	ENST00000262056
ZNF282	ENST00000262085
arhgef10	ENST00000262112
Twsg1	ENST00000262120
RBL2	ENST00000262133
Cacng4	ENST00000262138
CRISPLD1	ENST00000262207
OC90	ENST00000262283
Rhbdf1	ENST00000262316
telo2	ENST00000262319
AXIN1	ENST00000262320
CREBBP	ENST00000262367
WSB1	ENST00000262394
mapt	ENST00000262410
cotl1	ENST00000262428
MLYCD	ENST00000262430
CHD5	ENST00000262450
Gins1	ENST00000262460
CNOT4	ENST00000262563
GDAP1L1	ENST00000262604
ttpal	ENST00000262605
CECR2	ENST00000262608
ATP4A	ENST00000262623
Mag	ENST00000262624
rbm42	ENST00000262633
HCK	ENST00000262651
ACIN1	ENST00000262710
FBLN1	ENST00000262722
CRTC1	ENST00000262813
KIAA0892	ENST00000262816
PRKX	ENST00000262848
AGFG2	ENST00000262935
GNA15	ENST00000262958
Mpnd	ENST00000262967
TBC1D9	ENST00000262996
phyH	ENST00000263038
SORCS1	ENST00000263054
MAP3K8	ENST00000263056
Mett10d	ENST00000263092
C10orf18	ENST00000263123
kif18a	ENST00000263181
BBOX1	ENST00000263182
Cdc45	ENST00000263201
Med15	ENST00000263205
Ppm1f	ENST00000263212
slc25a17	ENST00000263255
Ehd2	ENST00000263277
hsd17b14	ENST00000263278
STRN4	ENST00000263280
CLNS1A	ENST00000263309
USP35	ENST00000263311
tyr	ENST00000263321
IL1F7	ENST00000263326
TCF25	ENST00000263346
TCF25	ENST00000263347
BLVRB	ENST00000263368
brd4	ENST00000263377
PRPF31	ENST00000263436
c10orf76	ENST00000263485
TFAP2E	ENST00000263543
PARP12	ENST00000263549
Vps26a	ENST00000263559
C10orf54	ENST00000263569
FOXRED1	ENST00000263578
ELANE	ENST00000263621
OSBPL5	ENST00000263650
Cnrip1	ENST00000263655
SELP	ENST00000263686
NKAIN1	ENST00000263693
sgol1	ENST00000263753
FNBP4	ENST00000263773
TP53BP1	ENST00000263801
retsat	ENST00000263854
GNLY	ENST00000263863
STAM2	ENST00000263904
strN	ENST00000263918
Chic2	ENST00000263921
COQ10B	ENST00000263960
Taf12	ENST00000263974
LCAT	ENST00000264005
HSF4	ENST00000264009
DDX6	ENST00000264018
C11orf60	ENST00000264021
pvrl1	ENST00000264025
Sp100	ENST00000264052
Tubb4	ENST00000264071
LAMC2	ENST00000264144
MCM6	ENST00000264156
Kynu	ENST00000264170
CYTIP	ENST00000264192
LXN	ENST00000264265
YWHAE	ENST00000264335
COPS4	ENST00000264389
FNIP2	ENST00000264433
PCYOX1	ENST00000264441
MXD1	ENST00000264444
ATP8A1	ENST00000264449
Cdh10	ENST00000264463
PHRF1	ENST00000264555
ASB1	ENST00000264607
SRCIN1	ENST00000264659
LRRC31	ENST00000264676
fgf12	ENST00000264730
maeA	ENST00000264750
PPAP2A	ENST00000264775
MMRN1	ENST00000264790
ICAM1	ENST00000264832
SIDT1	ENST00000264852
PPARGC1A	ENST00000264867
RAD18	ENST00000264926
CEP72	ENST00000264935
TF	ENST00000264998
SOX30	ENST00000265007
PROM1	ENST00000265014
FETUB	ENST00000265029
MGLL	ENST00000265052
CDH6	ENST00000265071
ATP6V0E1	ENST00000265093
SLC1A3	ENST00000265113
DFNB31	ENST00000265134
fam172a	ENST00000265139
MCM8	ENST00000265187
ST3GAL6	ENST00000265261
Tle4	ENST00000265284
WWC1	ENST00000265293
Zmiz2	ENST00000265346
CUL7	ENST00000265348
SYNE1	ENST00000265368
hibadh	ENST00000265395
SLC17A2	ENST00000265425
WWP1	ENST00000265428
MARK2	ENST00000265458
b3gat3	ENST00000265471
TRDN	ENST00000265491
NDUFC1	ENST00000265500
BLVRA	ENST00000265523
KIF9	ENST00000265529
EXOSC7	ENST00000265564
Rngtt	ENST00000265607
vapB	ENST00000265619
PMEPA1	ENST00000265626
CDC14B	ENST00000265659
nelf	ENST00000265663
RPS6KA2	ENST00000265678
MYST3	ENST00000265713
prkar2b	ENST00000265717
DUS4L	ENST00000265720
ABCB4	ENST00000265723
R3HCC1	ENST00000265806
SLC18A1	ENST00000265808
Slc35f2	ENST00000265836
MYO3A	ENST00000265944
HPX	ENST00000265983
Hyal1	ENST00000266031
dock3	ENST00000266037
slit1	ENST00000266058
SLC2A4RG	ENST00000266077
TTC28	ENST00000266082
Depdc5	ENST00000266091
PATZ1	ENST00000266269
OVOS2	ENST00000266524
OVOS	ENST00000266524
PEX5	ENST00000266563
Cpsf6	ENST00000266679
NAV3	ENST00000266692
TMTC3	ENST00000266712
FRY	ENST00000267067
Rhof	ENST00000267205
SSTR1	ENST00000267377
RDH12	ENST00000267502
ak7	ENST00000267584
Mfap1	ENST00000267812
myef2	ENST00000267836
Duox2	ENST00000267837
LYSMD2	ENST00000267838
Cdan1	ENST00000267892
COMMD4	ENST00000267935
Mesdc1	ENST00000267984
LOC652346	ENST00000268059
CYP1A1	ENST00000268062
ulk3	ENST00000268074
Rlbp1	ENST00000268125
MFGE8	ENST00000268151
TIGD7	ENST00000268674
C17orf39	ENST00000268719
KIF2B	ENST00000268919
SPATA22	ENST00000268981
gnal	ENST00000269162
CCDC40	ENST00000269336
rab40b	ENST00000269347
NT5C3L	ENST00000269534
PIP4K2B	ENST00000269554
AKAP8	ENST00000269701
NFIC	ENST00000269778
LOC390834	ENST00000269856
Sirt6	ENST00000269860
ccdc97	ENST00000269967
PLAT	ENST00000270187
CBLC	ENST00000270279
Wdr62	ENST00000270301
ADAMTS10	ENST00000270328
znf160	ENST00000270457
epn1	ENST00000270460
C19orf52	ENST00000270502
Gja5	ENST00000271348
PRCC	ENST00000271526
PRUNE	ENST00000271619
SF3B4	ENST00000271628
Slc27a3	ENST00000271857
Ubap2l	ENST00000271877
acp1	ENST00000272066
LBR	ENST00000272163
WNT9A	ENST00000272164
REN	ENST00000272190
Dhx57	ENST00000272257
RPL21P37	ENST00000272274
LOC100130289	ENST00000272348
SULT1C4	ENST00000272452
RGPD5	ENST00000272454
RGPD3	ENST00000272454
Tmem177	ENST00000272521
SLC20A1	ENST00000272542
CNGA3	ENST00000272602
KIAA1715	ENST00000272748
UNC80	ENST00000272845
casp10	ENST00000272879
SPAG16	ENST00000272898
sumf1	ENST00000272902
RQCD1	ENST00000273064
RBMS3	ENST00000273139
CSRNP1	ENST00000273153
sec22c	ENST00000273156
golga4	ENST00000273176
ARL6IP5	ENST00000273258
ABI3BP	ENST00000273339
srprb	ENST00000273406
ildr1	ENST00000273691
Slit2	ENST00000273739
CENPC1	ENST00000273853
ociad2	ENST00000273860
SLC10A6	ENST00000273905
ENOPH1	ENST00000273920
herc6	ENST00000273960
RPS3AP49	ENST00000274065
Glra3	ENST00000274093
srd5a1	ENST00000274192
Skp2	ENST00000274254
c5orf42	ENST00000274258
Atg12	ENST00000274459
ADAMTS19	ENST00000274487
Spink7	ENST00000274565
ccdc99	ENST00000274631
Rreb1	ENST00000274670
Psd2	ENST00000274710
Lrrtm2	ENST00000274711
c6orf167	ENST00000275053
c6orf170	ENST00000275159
TAAR1	ENST00000275216
Esyt2	ENST00000275418
CDCA5	ENST00000275517
IGFBP1	ENST00000275525
C7orf43	ENST00000275726
TMEM47	ENST00000275954
ZNF630	ENST00000276054
Chst7	ENST00000276055
SNX12	ENST00000276105
RIPPLY1	ENST00000276173
Frmpd3	ENST00000276185
SLC18A1	ENST00000276373
ADRA1A	ENST00000276393
LACTB2	ENST00000276590
LOC646316	ENST00000276603
TATDN1	ENST00000276692
fam135b	ENST00000276737
naprt1	ENST00000276844
PLIN2	ENST00000276914
OR1K1	ENST00000277309
RPL7AP11	ENST00000277425
Asb6	ENST00000277458
PTGES2	ENST00000277462
Paep	ENST00000277508
ADD3	ENST00000277900
PAOX	ENST00000278060
ITPRIP	ENST00000278071
SAA3P	ENST00000278207
PGAP2	ENST00000278243
tut1	ENST00000278279
TRIM6	ENST00000278302
CD44	ENST00000278385
CD44	ENST00000278386
OR5F1	ENST00000278409
ssrp1	ENST00000278412
aplp2	ENST00000278756
OVOL2	ENST00000278780
C11orf9	ENST00000278836
WDR74	ENST00000278856
PLCH2	ENST00000278878
CHEK1	ENST00000278916
CEP164	ENST00000278935
SIDT2	ENST00000278951
commd7	ENST00000278980
C20orf117	ENST00000279034
Ergic3	ENST00000279052
Cdc42ep2	ENST00000279249
PRB3	ENST00000279573
PDCD4	ENST00000280154
Ppp1r1c	ENST00000280295
C11orf53	ENST00000280325
LOC100131128	ENST00000280354
FREM2	ENST00000280481
pitpnm2	ENST00000280562
FAM53B	ENST00000280780
DSC2	ENST00000280904
AGAP11	ENST00000280961
Thrsp	ENST00000281030
MYCN	ENST00000281043
Nrxn3	ENST00000281127
VPS26B	ENST00000281187
QDPR	ENST00000281243
MMAA	ENST00000281317
tAKR	ENST00000281339
AMN1	ENST00000281471
C14orf38	ENST00000281581
ATP8A2	ENST00000281620
NBPF11	ENST00000281815
TNFSF4	ENST00000281834
Fam128b	ENST00000281871
Med13l	ENST00000281928
SETBP1	ENST00000282030
PDE3B	ENST00000282096
KCNK13	ENST00000282146
poc5	ENST00000282199
FAM151B	ENST00000282226
CWF19L2	ENST00000282251
HOMER1	ENST00000282260
USP12	ENST00000282344
SPARCL1	ENST00000282470
nipbl	ENST00000282516
GMCL1L	ENST00000282570
SLC30A6	ENST00000282587
ITGA1	ENST00000282588
Phf15	ENST00000282605
GRM1	ENST00000282753
PLOD2	ENST00000282903
ZIC1	ENST00000282928
NUBP1	ENST00000283027
ACMSD	ENST00000283054
ZRANB3	ENST00000283060
ptprr	ENST00000283228
plekhg4b	ENST00000283426
FGFR1OP	ENST00000283506
rpiA	ENST00000283646
C7orf31	ENST00000283905
DDAH1	ENST00000284031
OR4D2	ENST00000284081
Sema3d	ENST00000284136
UBASH3B	ENST00000284273
ABI3BP	ENST00000284322
LRRK1	ENST00000284395
MIA3	ENST00000284471
Ppp1r3a	ENST00000284601
ASZ1	ENST00000284629
sh3rf1	ENST00000284637
CXADRP2	ENST00000284878
ncam2	ENST00000284894
Rabgef1	ENST00000284957
ADAMTS5	ENST00000284987
Wnt7a	ENST00000285018
Abcc3	ENST00000285238
ANKRD40	ENST00000285243
LOC729086	ENST00000285279
LOC100270710	ENST00000285605
c4orf23	ENST00000285635
GRAMD3	ENST00000285689
CCDC146	ENST00000285871
XAGE2B	ENST00000286049
Pdia4	ENST00000286091
Depdc6	ENST00000286234
AFF2	ENST00000286437
mmp16	ENST00000286611
adk	ENST00000286621
stom	ENST00000286713
c15orf26	ENST00000286732
Adamtsl3	ENST00000286744
CXCL13	ENST00000286758
TSPAN7	ENST00000286824
LOC728648	ENST00000286897
Ankrd9	ENST00000286918
FUT6	ENST00000286955
GDF6	ENST00000287020
NODAL	ENST00000287139
KIF6	ENST00000287152
FBXO32	ENST00000287396
BCKDK	ENST00000287507
vps8	ENST00000287546
LHFPL4	ENST00000287585
MPV17L	ENST00000287594
C1orf14	ENST00000287709
Nmnat2	ENST00000287713
SLC6A1	ENST00000287766
PRKAG2	ENST00000287878
Cyb5rl	ENST00000287899
HMGCR	ENST00000287936
Thtpa	ENST00000288014
pdf	ENST00000288022
Tmed6	ENST00000288025
IL34	ENST00000288098
TSC22D3	ENST00000288274
mx1	ENST00000288383
C9orf43	ENST00000288462
WDR19	ENST00000288634
C2orf39	ENST00000288710
Megf11	ENST00000288745
WDR66	ENST00000288912
c9orf102	ENST00000288985
NCK1	ENST00000288986
hpd	ENST00000289004
ESYT3	ENST00000289135
Shroom4	ENST00000289292
HIST2H4A	ENST00000289352
Hist1h4d	ENST00000289352
CD1A	ENST00000289429
OR10K1	ENST00000289451
ncf1	ENST00000289473
RUNDC2C	ENST00000289484
PCDHA10	ENST00000289630
Nbl1	ENST00000289749
Vwa5b1	ENST00000289815
C21orf59	ENST00000290155
ELMO2	ENST00000290246
HOXB13	ENST00000290295
PPP1R12B	ENST00000290419
Scube1	ENST00000290460
PLA2G4D	ENST00000290472
celf3	ENST00000290585
Derl3	ENST00000290730
GstT2	ENST00000290765
Cpne2	ENST00000290776
Ccdc58	ENST00000291458
KIR2DL1	ENST00000291633
ftcD	ENST00000291670
C21orf56	ENST00000291672
CLDND2	ENST00000291715
FCN2	ENST00000291744
HIPK4	ENST00000291823
ST6GALNAC6	ENST00000291839
TLCD1	ENST00000292090
PSG6	ENST00000292125
ZBTB7B	ENST00000292176
ZNF20	ENST00000292241
Rusc1	ENST00000292253
znf3	ENST00000292393
Fgfr4	ENST00000292408
ier2	ENST00000292433
CPSF4	ENST00000292476
ptcd1	ENST00000292478
FAM108A5	ENST00000292577
Med15	ENST00000292733
Thap8	ENST00000292894
CCL14	ENST00000293277
KRT8P9	ENST00000293308
Plekhh3	ENST00000293349
lsm12	ENST00000293406
ZNF613	ENST00000293471
Wnt1	ENST00000293549
OR7G1	ENST00000293614
Grasp	ENST00000293662
RAVER1	ENST00000293677
RPL26P19	ENST00000293842
WDR90	ENST00000293879
WDR24	ENST00000293883
Cramp1l	ENST00000293925
FLYWCH2	ENST00000293981
SHANK2	ENST00000294018
RPL29P11	ENST00000294189
Phf7	ENST00000294213
Tpcn2	ENST00000294309
CYP4Z2P	ENST00000294342
Ppap2b	ENST00000294390
RHCE	ENST00000294413
C1orf187	ENST00000294485
NBPF6	ENST00000294652
Odf2l	ENST00000294678
ARPC5	ENST00000294742
C1orf74	ENST00000294811
PKDCC	ENST00000294964
CAPN2	ENST00000295006
C1orf145	ENST00000295012
c2orf44	ENST00000295148
EN1	ENST00000295206
C4orf37	ENST00000295268
PACRGL	ENST00000295290
IWS1	ENST00000295321
ATP13A4	ENST00000295548
C3orf30	ENST00000295622
NEK10	ENST00000295720
CRYBA2	ENST00000295728
EOMES	ENST00000295743
WDFY3	ENST00000295888
alb	ENST00000295897
Ptx3	ENST00000295927
SLMAP	ENST00000295951
rpl9	ENST00000295955
IL17RE	ENST00000295980
syn1	ENST00000295987
CPA3	ENST00000296046
DNAJC5G	ENST00000296097
LZTFL1	ENST00000296135
CCR1	ENST00000296140
Itgb5	ENST00000296181
rho	ENST00000296271
Rpl39l	ENST00000296277
masp1	ENST00000296280
Rft1	ENST00000296292
SFMBT1	ENST00000296295
Zdhhc19	ENST00000296326
OTOP1	ENST00000296358
S100P	ENST00000296370
LOC100134412	ENST00000296422
